image,gt_px,sam_score,dice_raw,iou_raw,dice_post,iou_post,dice_tightbox,secs
0802.png,1894,0.926,0.9218,0.8549,0.9218,0.8549,0.9304,0.97
0806.png,7308,0.97,0.9839,0.9682,0.9839,0.9683,0.9853,1.01
0809.png,2159,0.939,0.9697,0.9411,0.9703,0.9424,0.9712,1.0
0813.png,570,0.923,0.9383,0.8837,0.9383,0.8837,0.9455,0.98
0816.png,20,0.708,0.7619,0.6154,0.75,0.6,0.75,0.96
0820.png,12943,0.871,0.6768,0.5114,0.679,0.514,0.8601,0.99
0824.png,1322,0.933,0.8249,0.702,0.827,0.7051,0.8573,1.0
0830.png,425,0.829,0.7456,0.5944,0.688,0.5244,0.7047,0.98
0833.png,1806,0.945,0.9191,0.8503,0.9191,0.8503,0.9376,0.98
0834.png,761,0.928,0.8853,0.7942,0.8853,0.7942,0.892,0.98
0835.png,2012,0.93,0.821,0.6964,0.8216,0.6971,0.9004,0.96
0842.png,1274,0.899,0.7748,0.6324,0.7765,0.6346,0.8336,1.0
0847.png,4830,0.964,0.9709,0.9435,0.9709,0.9435,0.9731,0.96
0849.png,545,0.94,0.9641,0.9307,0.9641,0.9307,0.9656,0.96
0865.png,1436,0.935,0.9437,0.8934,0.944,0.894,0.9413,0.96
0867.png,80,0.913,0.7692,0.625,0.7729,0.6299,0.8247,0.97
0874.png,18853,0.926,0.9103,0.8353,0.9117,0.8377,0.9533,0.97
0880.png,2304,0.866,0.4212,0.2668,0.4226,0.2679,0.4955,1.0
0881.png,1028,0.757,0.5388,0.3687,0.5423,0.3721,0.6445,0.97
0887.png,11779,0.956,0.9541,0.9122,0.9541,0.9122,0.9511,0.99
0900.png,5965,0.878,0.4449,0.2861,0.4482,0.2888,0.5349,0.96
0901.png,6260,0.965,0.9826,0.9659,0.9827,0.966,0.9808,0.97
0904.png,50,0.916,0.6757,0.5102,0.6849,0.5208,0.7328,0.97
0905.png,494,0.923,0.8599,0.7542,0.8599,0.7542,0.8877,0.94
0906.png,172,0.906,0.8514,0.7412,0.8535,0.7445,0.896,0.91
0922.png,617,0.944,0.9175,0.8476,0.9167,0.8463,0.9244,0.9
0937.png,1397,0.844,0.7189,0.5612,0.7203,0.5628,0.7892,0.9
0940.png,12965,0.598,0.5358,0.3659,0.5582,0.3872,0.9332,0.92
0946.png,1895,0.918,0.8919,0.8049,0.8916,0.8043,0.9007,0.93
0947.png,19795,0.955,0.7305,0.5755,0.731,0.5761,0.9188,0.92
0948.png,840,0.919,0.87,0.7699,0.8709,0.7714,0.9126,0.92
0949.png,925,0.908,0.7026,0.5416,0.704,0.5432,0.7814,0.91
0954.png,1477,0.932,0.8982,0.8152,0.8985,0.8157,0.9233,0.96
0955.png,137,0.871,0.8541,0.7453,0.852,0.7421,0.8321,0.96
0958.png,382,0.933,0.9023,0.822,0.9023,0.822,0.9233,0.99
0961.png,735,0.939,0.9354,0.8787,0.9347,0.8775,0.9322,1.01
0964.png,2727,0.635,0.3667,0.2245,0.0284,0.0144,0.038,0.98
0971.png,3630,0.873,0.656,0.4881,0.8393,0.7232,0.8365,0.98
0973.png,857,0.875,0.7339,0.5796,0.7361,0.5824,0.7907,1.06
0974.png,9780,0.924,0.357,0.2173,0.3573,0.2175,0.4016,0.98
0976.png,1374,0.928,0.9334,0.8751,0.9334,0.8751,0.9331,1.02
0979.png,570,0.882,0.7121,0.553,0.713,0.554,0.802,0.99
0985.png,8215,0.688,0.7582,0.6106,0.5944,0.4228,0.5263,0.99
1003.png,973,0.91,0.9481,0.9012,0.9485,0.9021,0.9425,0.96
1009.png,2611,0.892,0.0462,0.0236,0.0332,0.0169,0.0265,0.99
