image,component,n_components,gt_px,sam_score,dice_raw,iou_raw,dice_post,iou_post,dice_tightbox,secs
0904.png,0,1,50,0.917,0.6757,0.5102,0.6849,0.5208,0.7328,0.96
0905.png,0,1,494,0.924,0.8606,0.7554,0.8606,0.7554,0.8877,0.99
0906.png,0,1,172,0.912,0.8571,0.75,0.8638,0.7602,0.896,0.98
0922.png,0,1,617,0.944,0.9182,0.8488,0.9181,0.8486,0.9244,0.96
0937.png,0,2,886,0.885,0.8269,0.7049,0.8269,0.7049,0.9499,0.95
0937.png,1,2,451,0.759,0.7574,0.6096,0.7596,0.6124,0.8073,0.04
0940.png,0,2,12305,0.955,0.9572,0.9179,0.9572,0.9179,0.9552,0.96
0940.png,1,2,660,0.92,0.898,0.8149,0.898,0.8149,0.8985,0.04
0946.png,0,1,1895,0.917,0.8936,0.8077,0.8936,0.8077,0.9007,0.93
0947.png,0,1,19795,0.949,0.7454,0.5941,0.7439,0.5923,0.9188,0.97
0948.png,0,1,840,0.921,0.8728,0.7743,0.8737,0.7757,0.9126,0.95
0949.png,0,1,925,0.907,0.7292,0.5738,0.7362,0.5825,0.7814,0.96
0954.png,0,1,1477,0.933,0.8931,0.8068,0.8931,0.8068,0.9233,0.95
0955.png,0,1,137,0.872,0.8448,0.7312,0.8394,0.7233,0.8321,0.95
0958.png,0,1,382,0.931,0.9036,0.8242,0.9036,0.8242,0.9233,0.96
0961.png,0,1,735,0.94,0.934,0.8762,0.9346,0.8773,0.9322,0.96
0964.png,0,3,2293,0.943,0.9667,0.9355,0.9665,0.9351,0.9701,0.95
0964.png,1,3,138,0.888,0.8452,0.7318,0.8442,0.7303,0.8601,0.05
0964.png,2,3,280,0.662,0.7225,0.5656,0.7263,0.5702,0.7664,0.05
0971.png,0,2,2706,0.974,0.9833,0.9672,0.9833,0.9672,0.9844,0.96
0971.png,1,2,924,0.948,0.9683,0.9385,0.9683,0.9385,0.9721,0.05
0973.png,0,1,857,0.861,0.732,0.5773,0.7368,0.5833,0.7907,0.96
0974.png,0,5,5172,0.949,0.9686,0.939,0.9685,0.9388,0.9649,0.96
0974.png,1,5,2078,0.94,0.9227,0.8565,0.9265,0.863,0.9702,0.04
0974.png,2,5,1799,0.947,0.9598,0.9228,0.9598,0.9228,0.9511,0.04
0974.png,3,5,657,0.915,0.9397,0.8863,0.9397,0.8863,0.9253,0.04
0974.png,4,5,74,0.749,0.8919,0.8049,0.8904,0.8025,0.8971,0.04
0976.png,0,1,1374,0.926,0.9329,0.8743,0.9332,0.8748,0.9331,0.95
0979.png,0,1,570,0.888,0.6926,0.5297,0.6939,0.5312,0.802,0.97
0985.png,0,3,3446,0.943,0.961,0.925,0.961,0.925,0.9602,0.99
0985.png,1,3,4064,0.951,0.9447,0.8952,0.9448,0.8954,0.9447,0.05
0985.png,2,3,705,0.94,0.9441,0.894,0.9446,0.8951,0.941,0.05
1003.png,0,1,973,0.916,0.9492,0.9033,0.9496,0.9041,0.9425,0.97
1009.png,0,2,157,0.912,0.8946,0.8093,0.8946,0.8093,0.8991,1.0
1009.png,1,2,2454,0.928,0.9119,0.8381,0.9119,0.8381,0.8943,0.04
